,QLD,Macro_State,Holdings,Strategy_Equity,QLD_Equity
5/3/2019,12.49621773,Invest,QLD,160954.0797,133624.1678
5/6/2019,12.35056686,Invest,QLD,159078.0639,132066.6985
5/7/2019,11.85437489,Invest,QLD,152687.0003,126760.8339
5/8/2019,11.78278351,Invest,QLD,151764.8873,125995.2952
5/9/2019,11.67416382,Invest,QLD,150365.8414,124833.8065
5/10/2019,11.69761467,Invest,QLD,150667.8936,125084.5704
5/13/2019,10.87679386,Invest,QLD,140095.538,116307.3947
5/14/2019,11.11625195,Invest,QLD,143179.8117,118867.9606
5/15/2019,11.41989326,Invest,QLD,147090.7797,122114.8484
5/16/2019,11.65194798,Invest,QLD,150079.6964,124596.2487
5/17/2019,11.41372299,Invest,QLD,147011.3053,122048.8687
5/20/2019,11.03725624,Invest,QLD,142162.3293,118023.2461
5/21/2019,11.25819874,Invest,QLD,145008.1181,120385.8216
5/22/2019,11.1582222,Invest,QLD,143720.3979,119316.7555
5/23/2019,10.81137753,Invest,QLD,139252.961,115607.8869
5/24/2019,10.79656506,Invest,QLD,139062.1731,115449.4946
5/28/2019,10.71509933,Invest,QLD,138012.8762,114578.3678
5/29/2019,10.54352856,Invest,QLD,135803.0063,112743.7326
5/30/2019,10.63363361,Invest,QLD,136963.5795,113707.2411
5/31/2019,10.27815247,Invest,QLD,132384.9029,109906.0212
6/3/2019,9.846140862,Invest,QLD,126820.4968,105286.4481
6/4/2019,10.38430405,Invest,QLD,133752.159,111041.118
6/5/2019,10.53735733,Invest,QLD,135723.5195,112677.7426
6/6/2019,10.69905186,Invest,QLD,137806.1812,114406.7695
6/7/2019,11.10884666,Invest,QLD,143084.4299,118788.7745
6/10/2019,11.36311436,Invest,QLD,146359.4548,121507.702
6/11/2019,11.40261459,Invest,QLD,146868.2266,121930.0847
6/12/2019,11.27671432,Invest,QLD,145246.6029,120583.8118
6/13/2019,11.4075489,Invest,QLD,146931.7816,121982.8481
6/14/2019,11.29399395,Invest,QLD,145469.1684,120768.5858
6/17/2019,11.4371748,Invest,QLD,147313.3698,122299.6428
6/18/2019,11.77043915,Invest,QLD,151605.8892,125863.2948
6/19/2019,11.85684299,Invest,QLD,152718.79,126787.2257
6/20/2019,12.07284546,Invest,QLD,155500.9501,129096.9766
6/21/2019,12.04322338,Invest,QLD,155119.4111,128780.2227
6/24/2019,12.03952026,Invest,QLD,155071.7141,128740.6246
6/25/2019,11.62226868,Invest,QLD,149697.4204,124278.883
6/26/2019,11.72599506,Invest,QLD,151033.4394,125388.0467
6/27/2019,11.81984425,Invest,QLD,152242.2379,126391.5919
6/28/2019,11.85565472,Invest,QLD,152703.4848,126774.5193
7/1/2019,12.16312885,Invest,QLD,156663.8204,130062.3922
7/2/2019,12.26191521,Invest,QLD,157936.2108,131118.7314
7/3/2019,12.43602562,Invest,QLD,160178.7918,132980.5234
7/5/2019,12.39527512,Invest,QLD,159653.9163,132544.7714
7/8/2019,12.21252251,Invest,QLD,157300.0218,130590.5669
7/9/2019,12.33600616,Invest,QLD,158890.5188,131910.9984
7/10/2019,12.57679749,Invest,QLD,161991.965,134485.8208
7/11/2019,12.55703926,Invest,QLD,161737.4746,134274.5427
7/12/2019,12.7015152,Invest,QLD,163598.357,135819.4484
7/15/2019,12.77190208,Invest,QLD,164504.9557,136572.1072
7/16/2019,12.6447134,Invest,QLD,162866.7371,135212.0571
7/17/2019,12.52369881,Invest,QLD,161308.0421,133918.0277
7/18/2019,12.5632143,Invest,QLD,161817.0105,134340.5735
7/19/2019,12.34958935,Invest,QLD,159065.4733,132056.2458
7/22/2019,12.56198025,Invest,QLD,161801.1156,134327.3776
7/23/2019,12.72003937,Invest,QLD,163836.9524,136017.5305
7/24/2019,12.89662075,Invest,QLD,166111.3601,137905.745
7/25/2019,12.64718246,Invest,QLD,162898.5391,135238.4592
7/26/2019,12.90155983,Invest,QLD,166174.9766,137958.5594
7/29/2019,12.82252789,Invest,QLD,165157.0275,137113.4575
7/30/2019,12.70398426,Invest,QLD,163630.159,135845.8504
7/31/2019,12.36687565,Invest,QLD,159288.1247,132241.0911
8/1/2019,12.22733879,Invest,QLD,157490.8588,130748.9999
8/2/2019,11.87170792,Invest,QLD,152910.2536,126946.1789
8/5/2019,11.01102638,Invest,QLD,141824.4828,117742.7658
8/6/2019,11.33455467,Invest,QLD,145991.5996,121202.3084
8/7/2019,11.43210506,Invest,QLD,147248.0704,122245.4312
8/8/2019,11.94826698,Invest,QLD,153896.3514,127764.8379
8/9/2019,11.72105789,Invest,QLD,150969.8475,125335.2527
8/12/2019,11.45433235,Invest,QLD,147534.3629,122483.1114
8/13/2019,11.96802425,Invest,QLD,154150.8295,127976.1057
8/14/2019,11.22341824,Invest,QLD,144560.1375,120013.9078
8/15/2019,11.20860004,Invest,QLD,144369.2758,119855.4543
8/16/2019,11.56299877,Invest,QLD,148934.0107,123645.0998
8/19/2019,11.91616154,Invest,QLD,153482.8262,127421.529
8/20/2019,11.7556324,Invest,QLD,151415.1749,125704.9638
8/21/2019,11.9593792,Invest,QLD,154039.4793,127883.6627
